Isolate_Id,Isolate_Name
EPI_ISL_18132455,A/Snow_Goose/Kansas/USDA-006804-007/2022
EPI_ISL_18132459,A/Snow_Goose/Kansas/USDA-006804-003/2022
EPI_ISL_18132930,A/Bald_Eagle/Florida/USDA-007915-002/2022
EPI_ISL_18132933,A/Bald_Eagle/Florida/USDA-007915-001/2022
EPI_ISL_18132997,A/Backyard_bird/Iowa/USDA-006114-001/2022
EPI_ISL_18133067,A/Backyard_bird/Connecticut/USDA-006118-001/2022
EPI_ISL_18133156,A/American_White_Pelican/Missouri/USDA-006970-001/2022
EPI_ISL_18133269,A/Hooded_Merganser/Missouri/USDA-007184-001/2022
EPI_ISL_18133482,A/Great_Horned_Owl/Florida/USDA-006984-001/2022
EPI_ISL_19607414,A/great_horned_owl/Massachusetts/22-006976-009/2022
EPI_ISL_11628242,A/turkey/Indiana/22-006261-001/2022
EPI_ISL_11628243,A/turkey/Indiana/22-006261-002/2022
EPI_ISL_14937071,A/bald_eagle/Georgia/W22-202/2022
EPI_ISL_14937101,A/bald_eagle/South_Carolina/W22-205/2022
EPI_ISL_15063844,A/gull/Florida/W22-162/2022
EPI_ISL_15215278,A/hooded_merganser/Florida/W22-154/2022
EPI_ISL_16641764,A/sanderling/MA/22HP00124/2022
EPI_ISL_18132219,A/turkey/Indiana/USDA-006261-001/2022
EPI_ISL_18132226,A/Snow_Goose/New_York/USDA-008835-004/2022
EPI_ISL_18132259,A/Snow_Goose/New_York/USDA-008835-002/2022
EPI_ISL_18132368,A/turkey/Indiana/USDA-006261-002/2022
EPI_ISL_18132371,A/Redhead/New_York/USDA-008835-006/2022
EPI_ISL_18132379,A/Pelican/Missouri/USDA-012338-019/2022
EPI_ISL_18132383,A/Sanderling/Massachusetts/USDA-007696-001/2022
EPI_ISL_18132406,A/Ross's_Goose/Missouri/USDA-012338-012/2022
EPI_ISL_18132410,A/Ross's_Goose/Missouri/USDA-007472-003/2022
EPI_ISL_18132424,A/Pelican/Missouri/USDA-012338-020/2022
EPI_ISL_18132834,A/Bald_Eagle/Missouri/USDA-012338-013/2022
EPI_ISL_18132838,A/Bald_Eagle/Missouri/USDA-012338-021/2022
EPI_ISL_18132856,A/Bald_Eagle/Florida/USDA-008984-001/2022
EPI_ISL_18132860,A/Bald_Eagle/Florida/USDA-008984-003/2022
EPI_ISL_18132902,A/Bald_Eagle/Missouri/USDA-007472-001/2022
EPI_ISL_18132929,A/Bald_Eagle/Georgia/USDA-008982-003/2022
EPI_ISL_18132932,A/Bald_Eagle/Georgia/USDA-008982-002/2022
EPI_ISL_18132968,A/Black_Vulture/Florida/USDA-007307-002/2022
EPI_ISL_18133002,A/Bald_Eagle/South_Dakota/USDA-009685-001/2022
EPI_ISL_18133018,A/Bald_Eagle/South_Carolina/USDA-008983-001/2022
EPI_ISL_18133278,A/Hooded_Merganser/Florida/USDA-007915-003/2022
EPI_ISL_18133347,A/Gull/Florida/USDA-007915-006/2022
EPI_ISL_18133447,A/goose/Ohio/USDA-007948-001/2022
EPI_ISL_18133484,A/goose/Missouri/USDA-012338-029/2022
EPI_ISL_18133490,A/goose/Missouri/USDA-012338-014/2022
EPI_ISL_11628244,A/chicken/Missouri/22-006569-001/2022
EPI_ISL_11628245,A/chicken/Missouri/22-006569-002/2022
EPI_ISL_16641765,A/sanderling/MA/22HP00127/2022
EPI_ISL_18132377,A/Sanderling/Massachusetts/USDA-007696-003/2022
EPI_ISL_18132380,A/Sanderling/Massachusetts/USDA-007696-002/2022
EPI_ISL_18132622,A/chicken/Missouri/USDA-006569-005/2022
EPI_ISL_18132625,A/chicken/Missouri/USDA-006569-004/2022
EPI_ISL_18132628,A/chicken/Missouri/USDA-006569-001/2022
EPI_ISL_18132650,A/chicken/Missouri/USDA-006569-007/2022
EPI_ISL_18132850,A/Bald_Eagle/Ohio/USDA-007469-001/2022
EPI_ISL_18132972,A/Black_Vulture/Florida/USDA-006983-001/2022
EPI_ISL_18133260,A/Mallard/Illinois/USDA-007482-001/2022
EPI_ISL_18133479,A/Great_Blue_Heron/New_York/USDA-009396-002/2022
EPI_ISL_19145182,A/Common_Raven/NS/FAV-0173-1/2022
EPI_ISL_19775385,A/Common_Eider/NL/OTH-0041-9/2023
EPI_ISL_11628246,A/chicken/Maryland/22-006578-001/2022
EPI_ISL_11628247,A/chicken/Maryland/22-006578-002/2022
EPI_ISL_11628248,A/chicken/Missouri/22-006639-001/2022
EPI_ISL_11897507,A/chicken/Maryland/22-006578-001/2022
EPI_ISL_11897508,A/chicken/Maryland/22-006578-002/2022
EPI_ISL_11897667,A/chicken/Missouri/22-006639-001/2022
EPI_ISL_14937105,A/bald_eagle/Florida/W22-189/2022
